25,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Snare Analog 3,Brush Tap,Brush Tap,Brush Tap,Tom 4,Bongo High,Brush Tap,,,Cabasa,Conga H Mute,Conga H Mute
26,Brush Swirl*,Brush Swirl*,Brush Swirl*,Brush Swirl*,Brush Swirl*,Brush Swirl*,Brush Swirl*,Vinyl Noise*,Brush Swirl*,Brush Swirl*,Brush Swirl*,Bass Drum Light,Conga Slide,Brush Swirl*,,,Nakarazan Edge,Conga H SlapOpen,Conga H SlapOpen
27,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Snare Analog 4,Brush Slap,Brush Slap,Brush Slap,Tom 3,Bongo Low,Brush Slap,,,Hager Dom,Conga H Slap,Conga H Slap
28,Brush Tap Swirl*,Brush Tap Swirl*,Brush Tap Swirl*,Brush Tap Swirl*,Brush Tap Swirl*,Reverse Cymbal*,Reverse Cymbal*,Reverse Cymbal*,Brush Tap Swirl*,Brush Tap Swirl*,Brush Tap Swirl*,Orchestra Cymbal,Conga Slap,Brush Tap Swirl*,,,Hager Edge,Conga H SlapMute,Conga H SlapMute
29,Snare Roll*,Snare Roll*,Snare Roll*,Snare Roll*,Snare Roll*,Snare Roll*,Snare Roll*,Reverse Dance 2*,Snare Roll*,Snare Roll*,Snare Roll*,Snare Drum Roll*,Conga Muff,Snare Roll*,,,Bongo H,Conga L Tip,Conga L Tip
30,Castanet,Castanet,Castanet,Castanet,Castanet,Hi Q 2,Hi Q 2,Hi Q 2,Castanet,Castanet,Castanet,Tom 2,Bongo Mute,Castanet,,,Bongo L,Conga L Heel,Conga L Heel
31,Snare Soft,Snare Soft 2,Snare Electro,Snare Soft,Snare Noisy,Snare Snap Elec,Snare Noisy 4,Snare Techno,Snare Jazz H,Brush Slap 2,Snare Soft,SD Brush Roll,Conga High,Snare Studio L,,,Conga H Mute,Conga L Open,Conga L Open
32,Sticks,Sticks,Sticks,Sticks,Sticks,Sticks,Sticks,Snare Dance 1,Sticks,Sticks,Sticks,Tom 1,Bongo Slap,Sticks,,,Conga H Open,Conga L Mute,Conga L Mute
33,Kick Soft,Kick Soft,Kick Tight L,Kick Soft,Kick Soft,Kick 3,Kick 3,Kick Techno Q,Kick Soft,Kick Soft,Kick Soft 2,SD Brush Shot 2,Conga Low,Kick Ambience H,,,Conga L,Conga L SlapOpen,Conga L SlapOpen
34,Open Rim Shot,Open Rim Shot H,Snare Pitched,Open Rim Shot,Open Rim Shot,Open Rim Shot,Open Rim Shot,Rim Gate,Open Rim Shot,Open Rim Shot,Open Rim Shot,Tom Brush Shot 4,,Open Rim Shot,,,Zagrouda H,Conga L Slap,Conga L Slap
35,Kick Tight,Kick Tight,Kick Wet,Kick Tight,Kick 2,Kick Gate,Kick Anlg Short,Kick Techno L,Kick Tight,Kick Tight,Gran Cassa,SD Brush Shot 1,Timbale 1 High,Kick Ambience L,,,Zagrouda L*,Conga L Slide*,Conga L Slide*
36,Kick,Kick Short,Kick Tight H,Kick,Kick Gate,Kick Gate Heavy,Kick Analog,Kick Techno,Kick Jazz,Kick Jazz,Gran Cassa Mute,Snare Drum Heavy,Timbale 1 Low,Kick Studio,Cutting Noise 1*,Phone Call*,Kick Soft,Bongo H Open 1 f,Bongo H Open 1 f
37,Side Stick,Side Stick Light,Stick Ambient,Side Stick,Side Stick,Side Stick,Side Stick Anlg,Side Stick Anlg,Side Stick Light,Side Stick Light,Side Stick,Tom Brush Shot 3,,Side Stick,Cutting Noise 2*,Door Squeak*,Side Stick,Bongo H Open 3 f,Bongo H Open 3 f
38,Snare,Snare Short,Snare Ambient,Snare Snappy,Snare Rock,Snare Noisy 2,Snare Analog,Snare Clap,Snare Jazz L,Brush Slap 3,Band Snare,Snare Drum Light,Timbale 2 High,Snare Studio M,,Door Slam*,Snare Soft,Bongo H Rim,Bongo H Rim
39,Hand Clap,Hand Clap,Hand Clap,Hand Clap,Hand Clap,Hand Clap,Hand Clap,Dance Clap,Hand Clap,Hand Clap,Hand Clap,Tom Brush Shot 2,,Hand Clap,String Slap*,Scratch Cut*,Arabic Hand Clap,Bongo H Tip,Bongo H Tip
40,Snare Tight,Snare Tight H,Snare Tight 2,Snare Tight Snap,Snare Rock Tight,Snare Noisy 3,Snare Analog 2,Snare Dry,Snare Jazz M,Brush Tap 2,Band Snare 2,SD Accent 2,Timbale 2 Low,Snare Studio L,,Scratch H 3*,Snare Drum,Bongo H Heel,Bongo H Heel
41,Floor Tom L,Floor Tom L,Hybrid Tom 1,Tom Room 1,Tom Rock 1,Tom Electro 1,Tom Analog 1,Tom Dance 1,Floor Tom L,Tom Brush 1,Floor Tom L,SD Accent 1,Timbale 3 High,Floor Tom L,,Wind Chime*,Floor Tom L,Bongo H Slap,Bongo H Slap
42,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed 2,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,Hat Close Analog,Hi-Hat Closed 3,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,Tom Brush Shot 1,Woodblock High,Hi-Hat Closed,,Telephone Ring*,Hi-Hat Closed,Bongo L Open 1 f,Bongo L Open 1 f
43,Floor Tom H,Floor Tom H,Hybrid Tom 2,Tom Room 2,Tom Rock 2,Tom Electro 2,Tom Analog 2,Tom Dance 2,Floor Tom H,Tom Brush 2,Floor Tom H,SD Reverb 2,Timbale 3 Low,Floor Tom H,,,Floor Tom H,Bongo L Open 3 f,Bongo L Open 3 f
44,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal 2,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,Hat Close Anlg 2,Hat Close Anlg 3,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,Snare Drum Rim 2,Woodblock Mid,Hi-Hat Pedal,,,Hi-Hat Pedal,Bongo L Rim,Bongo L Rim
45,Low Tom,Low Tom,Hybrid Tom 3,Tom Room 3,Tom Rock 3,Tom Electro 3,Tom Analog 3,Tom Dance 3,Low Tom,Tom Brush 3,Low Tom,SD Reverb 1,Timbale 4 High,Low Tom,,,Low Tom,Bongo L Tip,Bongo L Tip
46,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open 2,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open,Hat Open Analog,Hi-Hat Open 3,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open,Snare Drum Rim 1,Woodblock Low,Hi-Hat Open,,,Hi-Hat Open,Bongo L Heel,Bongo L Heel
47,Mid Tom L,Mid Tom L,Hybrid Tom 4,Tom Room 4,Tom Rock 4,Tom Electro 4,Tom Analog 4,Tom Dance 4,Mid Tom L,Tom Brush 4,Mid Tom L,Synth Snare Drum,Timbale 4 Low,Mid Tom L,,,Mid Tom L,Bongo L Slap,Bongo L Slap
48,Mid Tom H,Mid Tom H,Hybrid Tom 5,Tom Room 5,Tom Rock 5,Tom Electro 5,Tom Analog 5,Tom Dance 5,Mid Tom H,Tom Brush 5,Mid Tom H,Analog SD,Vibraslap,Mid Tom H,,,Mid Tom H,Timbale L Open,Timbale L Open
49,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Analog,Crash Analog,Crash Cymbal 1,Crash Cymbal 1,Hand Cymbal,Triangle Mute,Triangle Mute,Crash Cymbal 1,,,Crash Cymbal 1,,
50,High Tom,High Tom,Hybrid Tom 6,Tom Room 6,Tom Rock 6,Tom Electro 6,Tom Analog 6,Tom Dance 6,High Tom,Tom Brush 6,High Tom,Tambourine,Tambourine,High Tom,,,High Tom,,
51,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Ride Cymbal 1,Hand Cymbal S,Triangle Open,Triangle Open,Ride Cymbal 1,,,Ride Cymbal 1,,
52,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Chinese Cymbal,Castanet,Castanet,Chinese Cymbal,Flute Key Click*,CarEngnIgnition*,Crash Cymbal 2,,
53,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Ride Cymbal Cup,Claves,Claves,Ride Cymbal Cup,,Car Tires Squeal*,Duhulla Dom,Paila L,Paila L
54,Tambourine,Tambourine,Tambourine Light,Tambourine,Tambourine,Tambourine,Tambourine,Tambourine Anlg,Tambourine,Tambourine,Tambourine,,,Tambourine,,Car Passing*,Tambourine,Timbale H Open,Timbale H Open
55,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Splash Cymbal,Cabasa,Cabasa,Splash Cymbal,,Car Crash*,Duhulla Tak,,
56,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell,Cowbell Analog,Cowbell Dance,Cowbell,Cowbell,Cowbell,,,Cowbell,,Siren*,Cowbell,,
57,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Crash Cymbal 2,Hand Cymbal 2,Finger Snap,Finger Snap,Crash Cymbal 2,,Train*,Duhulla Sak,,
58,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap,Vibraslap Analog,Vibraslap,Vibraslap,Vibraslap,,,Vibraslap,,Jet Plane*,Claves,,
59,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Cymbal 2,Ride Analog,Ride Cymbal 2,Ride Cymbal 2,Hand Cymbal 2 S,Hand Claps,,Ride Cymbal 2,,Starship*,Doff Dom,Paila H,Paila H
60,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,Bongo H,Bongo Analog H,Bongo H,Bongo H,Bongo H,Crash Cymbal 2,Wind Bell Down,Bongo H,,Burst*,Katem Dom,Cowbell Top,Cowbell Top
61,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,Bongo L,Bongo Analog L,Bongo L,Bongo L,Bongo L,Hi-Hat Close,Agogo High,Bongo L,,Roller Coaster*,Katem Tak,,
62,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga H Mute,Conga Analog H,Conga Analog H,Conga H Mute,Conga H Mute,Conga H Mute,Crash Cymbal 1,Wind Bell Up,Conga H Mute,,Submarine*,Katem Sak,,
63,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga H Open,Conga Analog M,Conga Analog M,Conga H Open,Conga H Open,Conga H Open,Hi-Hat Open,Agogo Low,Conga H Open,,,Katem Tak,,
64,Conga L,Conga L,Conga L,Conga L,Conga L,Conga L,Conga Analog L,Conga Analog L,Conga L,Conga L,Conga L,Crash Cym Mute,Bells,Conga L,,,Doff Tak,Guiro Short,Guiro Short
65,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Timbale H,Ride Cymbal 2,Cowbell 4,Timbale H,,,Tabla Dom,Guiro Long*,Guiro Long*
66,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Timbale L,Hi-Hat Pedal 2,Shaker,Timbale L,,,Tabla Tak 1,,
67,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Agogo H,Ride Cymbal 1,Cowbell 3,Agogo H,,,Tabla Tik,,
68,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Agogo L,Hi-Hat Pedal 1,Guiro Short,Agogo L,Shower*,Laugh*,Tabla Tak 2,Tambourine,Tambourine
69,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Cabasa,Ride Cymbal Cup,Cowbell 2,Cabasa,Thunder*,Scream*,Tabla Sak,,
70,Maracas,Maracas,Maracas,Maracas,Maracas,Maracas,Maracas 2,Maracas 2,Maracas,Maracas,Maracas,,Guiro Long,Maracas,Wind*,Punch*,Tabla Roll Edge*,,
71,Samba Whistle H*,Samba Whistle H*,Samba Whistle H*,Samba Whistle H*,Samba Whistle H*,Samba Whistle H*,Samba Whistle H*,Samba Whistle H*,Samba Whistle H*,Samba Whistle H*,Samba Whistle H*,Cym Brush Shot,Cowbell 1,Samba Whistle H*,Stream*,Heart Beat*,Tabla Flam,,
72,Samba Whistle L*,Samba Whistle L*,Samba Whistle L*,Samba Whistle L*,Samba Whistle L*,Samba Whistle L*,Samba Whistle L*,Samba Whistle L*,Samba Whistle L*,Samba Whistle L*,Samba Whistle L*,Cymbal March,Taiko 2,Samba Whistle L*,Bubble*,Foot Steps*,Sagat 1,Maracas,Maracas
73,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Guiro Short,Analog HH Close,Ohdaiko 2,Guiro Short,Feed*,,Tabel Dom,Shaker,Shaker
74,Guiro Long*,Guiro Long*,Guiro Long*,Guiro Long*,Guiro Long*,Guiro Long*,Guiro Long*,Guiro Long*,Guiro Long*,Guiro Long*,Guiro Long*,Orch Cymbal Roll,Taiko 1,Guiro Long*,,,Sagat 3,Cabasa,Cabasa
75,Claves,Claves,Claves,Claves,Claves,Claves,Claves 2,Claves 2,Claves,Claves,Claves,Analog HH Open,Ohdaiko 1,Claves,,,Tabel Tak,,Cuica Mute
76,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Wood Block H,Dance Perc 3,Wood Block H,Wood Block H,Wood Block H,Orch Cymbal,Ohtsuzumi 2,Wood Block H,,,Sagat 2,,Cuica Open
77,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Wood Block L,Dance Perc 4*,Wood Block L,Wood Block L,Wood Block L,Orch Cymbal Mute,Ohtsuzumi 1,Wood Block L,,,Rik Dom,,
78,Cuica Mute,Cuica Mute,Cuica Mute,Cuica Mute,Cuica Mute,Scratch H 2,Scratch H 2,Dance Breath 1,Cuica Mute,Cuica Mute,Cuica Mute,,Kakegoe 3,Cuica Mute,,,Rik Tak 2,,
79,Cuica Open,Cuica Open,Cuica Open,Cuica Open,Cuica Open,Scratch L 2,Scratch L 2,Dance Breath 2*,Cuica Open,Cuica Open,Cuica Open,Tam-Tam,Kotsuzumi 4,Cuica Open,,,Rik Finger 1,,
80,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,Triangle Mute,,Kakegoe 2,Triangle Mute,,,Rik Tak 1,,
81,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,Triangle Open,,Kotsuzumi 3,Triangle Open,,,Rik Finger 2,,Triangle Mute
82,Shaker,Shaker,Shaker,Shaker,Shaker,Shaker,Shaker,Shaker,Shaker,Shaker,Shaker,,Kakegoe 1,Shaker,,,Rik BrassTremolo*,,Triangle Open
83,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,Jingle Bells,,Kotsuzumi 2,Jingle Bells,,,Rik Sak,,
84,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,Bell Tree,,Kotsuzumi 1,Bell Tree,Dog*,Machine Gun*,Rik Tik,,Wind Chime
85,,,,,,,,,,,,,,,Horse*,Laser Gun*,,,
86,,,,,,,,,,,,,,,Bird Tweet*,Explosion*,,,
87,,,,,,,,,,,,,,,,Firework*,,,
88,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,Ghost*,,,,
91,,,,,,,,,,,,,,,Maou*,,,,
