NoteNumber,ELKit 1,ELKit 2,Standard Kit 1,,Standard Kit 2,Hit Kit,Room Kit,Rock Kit,Electro Kit,Analog Kit,,Dance Kit,Jazz Kit,Brush Kit,Symphony Kit,China Mix Kit,Live!Std Kit,,Live!Std+P Kit,Live!Funk Kit,Live!Funk+P Kit,Live!Brush Kit,Live!Brush+P Kit,Live!Studio Kit,,Live!AcousticKit,Live!Power Kit 1,Live!Power Kit 2,Live!Rock Kit,Live!Real Drums,Live!RealBrushes,,Analog T8 Kit,Analog T9 Kit,House Kit,HipHop Kit,Drum Machine,Break Kit,SFX Kit 1,SFX Kit 2,Live! SFX Kit 1,Live! SFX Kit 2,Noise Kit,VocalEffectsKit,,GospelAdLibs,Wonderland Kit,PopLatin Kit,Cuban Kit,Arabic Kit,Turkish Kit,China Kit,OrchestraPerc
22,Synth Tom 1,Cuica Low,Metronome Bell,,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,,Reverse Dance 1,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,Metronome Bell,,Kick Tek Power,Kick Tek Power,WhiteNoiseUp Rel *,Tom T8 6,Kick Tek Power,Hi-HatClosedBrk1 *,,,,,,,,,,Conga H Tip,Conga H Tip,,Bendir Teke Dead,,Timpani A#
23,Bass Drum Attack,Tamborim Open,Seq Click L,,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Seq Click L,,Dance Perc 2,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Seq Click L,,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Seq Click L,,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Seq Click L,Vintage Tip,,Kick Slimy,KickDistortionRM,PinkNoise Up Rel *,Crash T8,KickDistortionRM,Hi-HatClosedBrk2 *,,,,,,,,,,Conga H Heel,Conga H Heel,,Bendir Tek Dead,Da Cha 2,Timpani B
24,Bass Drum Heavy,Pandeiro,Seq Click H,,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Seq Click H,,Hi Q Dance 1,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Seq Click H,,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Seq Click H,,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Seq Click H,Vintage Swirl 1 *,,Kick T8 4,Kick T9 2,Kick T9 4,Triangle Mute,BassDrumHardLong,Kick Break Deep,,,,,,,,,Laser Beam,Conga H Open,Conga H Open,Nakarazan Dom,Bendir Teke,Da Gu mp,Timpani C
25,Tom 4,Bongo High,Brush Tap,,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Brush Tap,,Snare Analog 3,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Brush Tap,,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Brush Tap,,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Brush Tap,Vintage Slap 1,,Snare Analog CR,Snare Analog CR,Snare T8 Rim,Triangle Open,BassDrumTekPower,Snare Hip,,,,,,,,,Laser Shot *,Conga H Mute,Conga H Mute,Cabasa,Bendir Tek,Da Gu Rim,Timpani C#
26,Bass Drum Light,Conga Slide,Brush Swirl *,,Brush Swirl *,Brush Swirl *,Brush Swirl *,Brush Swirl *,Brush Swirl *,Brush Swirl *,,Vinyl Noise *,Brush Swirl *,Brush Swirl *,Brush Swirl *,Brush Swirl *,Brush Swirl *,,Brush Swirl *,Brush Swirl*,Brush Swirl *,Brush Swirl *,Brush Swirl *,Brush Swirl *,,Brush Swirl *,Brush Swirl *,Brush Swirl *,Brush Swirl *,Brush Tap Swirl *,Vintage Swirl 2 *,,Snare T8 7,Snare T9 5,Snare T8 5,Wind Chime,Bass Drum Dist 5,Snare Lo-Fi,,,,,,,,,Water Phone *,Conga H SlapOpen,Conga H SlapOpen,Nakarazan Edge,Bendir Slap,Da Gu f,Timpani D
27,Tom 3,Bongo Low,Brush Slap,,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Brush Slap,,Snare Analog 4,Brush Slap,Brush Slap *,Brush Slap,Brush Slap,Brush Slap,,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Brush Slap,,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Brush Slap,Vintage Slap 2,,SnareClap Analog,Clap Analog Sm,Hand Clap,TambourineLight2,Bass Drum Dist 3,Snare Clappy,,,,,,,,,Bubble,Conga H Slap,Conga H Slap,Hager Dom,Bendir Dum,Da Gu Hand,Timpani D#
28,Orch Snare Drum,Conga Slap,Brush Tap Swirl *,,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,Reverse Cymbal *,Reverse Cymbal *,,Reverse Cymbal *,Brush Tap Swirl *,Brush Tap Swirl ,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,Brush Tap Swirl *,Vintage TapSwirl *,,Snare T8 6,Snare T9 Gate 1,Snare Garg L,TambourineLight1,Bass Drum Dist 1 *,Snare LdwH Mono,,,,,,,,,Puddle,Conga H SlapMute,Conga H SlapMute,Hager Edge,Zil Right Close,Da Gu Roll *,Timpani High E
29,Snare Drum Roll *,Conga Muff,Snare Roll *,,Snare Roll *,Snare Roll *,Snare Roll *,Snare Roll *,Snare Roll *,Snare Roll *,,Reverse Dance 2 *,Snare Roll *,Snare Roll *,Snare Roll *,Snare Roll *,Snare Roll *,,Snare Roll *,Snare Roll *,Snare Roll *,Snare Roll *,Snare Roll *,Snare Roll *,,Snare Roll Aco *,Snare Roll *,Snare Roll *,Snare Roll Rock *,Snare Roll Rock *,VintageSlapSwirl *,,Tom T8 5,Snare Rock Roll *,Snare Roll *,Kick HipHop 9,BD Drum & Bass 1,Snare Rock Roll *,,,,,,,,,Thunder *,Conga L Tip,Conga L Tip,Bongo H,Zil Right Open,Pai Gu 4,Gran Cassa Hard
30,Tom 2,Bongo Mute,Castanet,,Castanet,Castanet,Castanet,Castanet,Hi Q 2,Hi Q 2,,Hi Q 2,Castanet,Castanet,Castanet,Castanet,Castanet,,Castanet,Castanet,Castanet,Castanet,Castanet,Castanet,,Castanet,Castanet,Castanet,Castanet,Castanet,Vintage Swirl 3 *,,Snare T8 5,Snare T9 3,Snare T9 3,Hi-HatClosed Tek,Bass Drum Blip,Snare Gate 1,,,,,,,,,Shower *,Conga L Heel,Conga L Heel,Bongo L,Zil Left Close,Pai Gu 4 High,Gran Cassa Soft
31,SD Brush Roll,Conga High,Snare Soft,,Snare Soft 2,Snare Electro,Snare Soft,Snare Noisy,Snare Snap Elec,Snare Noisy 4,,Snare Techno,Snare Jazz H,Brush Slap 2,Snare Soft,Snare Soft,Snare Soft,,Snare Soft,Snare Soft 2,Snare Soft 2,Brush Slap 2,Brush Slap 2,Snare Studio 2,,Snare Soft Aco,SnareSoftPower 1,SnareSoftPower 2,Snare Soft Rock,Snare Tight,Vintage Slap 3,,Kick T8 3,Snare T9 4,Snare T8 1,Kick Gate,BassDrumAnalogSm,Snare Mid,,,,,,,,,Beach *,Conga L Open,Conga L Open,Conga H Mute,Zil Left Open,Pai Gu 3,Gran Cassa Hit
32,Tom 1,Bongo Slap,Sticks,,Sticks,Sticks,Sticks,Sticks,Sticks,Sticks,,Snare Dance 1,Sticks,Sticks,Sticks,Sticks,Sticks,,Sticks,Sticks,Sticks,Sticks,Sticks,Sticks,,Sticks,Sticks,Sticks,Sticks,Sticks,Sticks,,Snare T8 4,Snare T9 Gate 2,Snare T9 5,Hi-HatOpen Lo-Fi,Kick T8 2,Snare Break Rim,,,,,,,,,Stream *,Conga L Mute,Conga L Mute,Conga H Open,Tef Teke Flam,Pai Gu 3 High,Gran Cassa Cresc
33,SD Brush Shot 2,Conga Low,Kick Soft,,Kick Soft,Kick Tight L,Kick Soft,Kick Soft,Kick 3,Kick 3,,Kick Techno Q,Kick Soft,Kick Soft,Kick Soft 2,Kick Soft,Kick Soft,,Kick Soft,Kick Soft,Kick Soft,Kick Soft,Kick Soft,Kick Ambience H,,Kick Soft Aco,Kick Ambient+,Kick Ambient+,Kick Soft Rock,Kick Genuine,Kick Soft L,,Kick T8 2,Kick T9 4,Kick T9 1,KickGranCasaOpen,Kick T8 3,Kick Break Heavy,,,,,,,,,Footstep,Conga L SlapOpen,Conga L SlapOpen,Conga L,Tef Tek Mute,Pai Gu 2,ConcertSnareDrum
34,Tom Brush Shot 4,,Open Rim Shot,,Open Rim Shot H,Snare Pitched,Open Rim Shot,Open Rim Shot,Open Rim Shot,Open Rim Shot,,Rim Gate,Open Rim Shot,Open Rim Shot,Open Rim Shot,Open Rim Shot,Open Rim Shot,,Open Rim Shot,Open Rim Shot H,Open Rim Shot H,Open Rim Shot,Open Rim Shot,Open Rim Shot,,Rim Acoustic,Open Rim Power 1,Open Rim Power 2,Rim Rock,Rim Real,Open Rim Shot RB,,Snare T8 3,Snare T9 6,Snare T9 Gate,Hi-HatReverseD&B,Kick T9 HD 3,Snare Hip Rim 4,,,,,,,,,Door Squeak,Conga L Slap,Conga L Slap,Zagrouda H,Tef Teke Damped,Pai Gu 2 High,Snare Roll *
35,SD Brush Shot 1,Timbale 1 High,Kick Tight,,Kick Tight,Kick Wet,Kick Tight,Kick 2,Kick Gate,Kick Anlg Short,,Kick Techno L,Kick Tight,Kick Tight,Gran Cassa,Kick Tight,Kick Tight,,Kick Tight,Kick Tight,Kick Tight,Kick Tight,Kick Tight,Kick Ambience L,,Kick Mute Aco,Kick Power Open,Kick Power Open,Kick Rock Heavy,Kick Real 1,Kick Soft H,,T8 Kick Bass,Kick T9 1,Kick T9 2,Kick HipHop 1,Kick T9 2,Kick Break 2,,,,,,,,,Door Slam,Conga L Slide *,Conga L Slide *,Zagrouda L *,TefTekMuteMedium,Pai Gu 1,Snare Drum Light
36,SD Heavy,Timbale 1 Low,Kick,,Kick Short,Kick Tight H,Kick,Kick Gate,Kick Gate Heavy,Kick Analog,,Kick Techno,Kick Jazz,Kick Jazz,Gran Cassa Mute,Kick,Kick,,Kick,Kick Short,Kick Short,Kick Jazz,Kick Jazz,Kick Studio,,Kick Open Aco,Kick Power Mute,Kick Power Mute,Kick Rock,Kick Real 2,KickJazzAmbience,,Kick T8 1,Kick T9 3,Kick T9 5,Kick Analog CR,Kick T9 4,Kick Break 1,Cutting Noise 1 *,Phone Call *,Cutting Noise 1 *,Phone Call *,White Noise *,Male Ha 1 *,,,Bass Drum,Bongo H Open 1 f,Bongo H Open 1 f,Kick Soft,Tef Dum Mute,Luo High 1,Snare Ensemble
37,Tom Brush Shot 3,,Side Stick,,Side Stick Light,Stick Ambient,Side Stick,Side Stick,Side Stick,Side Stick Anlg,,Side Stick Anlg,Side Stick Light,Side Stick Light,Side Stick,Side Stick,Side Stick,,Side Stick,Side Stick Light,Side Stick Light,Side Stick Light,Side Stick Light,Side Stick,,Stick Acoustic,Side Stick Power,Side Stick Power,Stick Rock,Stick Real,Stick Brush,,Snare T8 Rim,Snare T9 Rim,Snare T9 Rim,SnareAnalogSmRim,Snare T9 Rim,Snare Hip Rim 1,Cutting Noise 2 *,Door Squeak *,Cutting Noise 2 *,Door Squeak 2 *,Pink Noise *,Female Ha 1 *,,,Gran Cassa,Bongo H Open 3 f,Bongo H Open 3 f,Side Stick,Tef Cymbal,Gong Batter,Sus Cym 1 Roll S *
38,Snare Drum Light,Timbale 2 High,Snare,,Snare Short,Snare Ambient,Snare Snappy,Snare Rock,Snare Noisy 2,Snare Analog,,Snare Clap,Snare Jazz L,Brush Slap 3,Band Snare,Snare,Snare,,Snare,Snare Short,Snare Short,Brush Slap 3,Brush Slap 3,Snare Studio M,,Snare Acoustic,Snare Power 1,Snare Power 2,Snare Rock,Snare Real 1,Vintage Slap 4,,Snare T8 2,Snare T9 1,Snare T9 1,Snare HipHop 1,Snare T9 1,Snare Break 3,,Door Slam *,,Door Slam 2 *,WhiteNoiseDown 1 *,Male Ha 2 *,,,Tom 2,Bongo H Rim,Bongo H Rim,Snare Soft,Tef Cymbal Mute,Jin Luo,Sus Cymbal 1
39,Tom Brush Shot 2,,Hand Clap,,Hand Clap,Hand Clap,Hand Clap,Hand Clap,Hand Clap,Hand Clap,,Dance Clap,Hand Clap,Hand Clap,Hand Clap,Hand Clap,Hand Clap,,Hand Clap,Hand Clap,Hand Clap,Hand Clap,Hand Clap,Hand Clap,,Hand Clap Power,Hand Clap Power,Hand Clap Power,Hand Clap Power,Clap Power,Clap Power,,Clap T9,Clap T9,Clap T9,Snare Clappy,Clap T9,Snare Break 1,String Slap *,Scratch Cut *,String Slap *,Scratch Cut *,PinkNoise Down 1 *,Male Ha 3 *,,,Tom 1,Bongo H Tip,Bongo H Tip,Arabic Hand Clap,Tef Tremolo *,Luo High 2,Sus Cym 2 Roll L *
40,SD Accent 2,Timbale 2 Low,Snare Tight,,Snare Tight H,Snare Tight 2,Snare Tight Snap,Snare Rock Tight,Snare Noisy 3,Snare Analog 2,,Snare Dry,Snare Jazz M,Brush Tap 2,Band Snare 2,Snare Tight,Snare Tight,,Snare Tight,Snare Tight H,Snare Tight H,Brush Tap 2,Brush Tap 2,Snare Studio L,,Snare Rough Aco,Snare Rough 1,Snare Rough 2,Snare Dry Rock,Snare Real 2,Vintage Slap 5,,Snare T8 1,Snare T9 2,Snare T9 2,Snare HipHop 2,Snare T9 4,Snare Break 2,,Scratch Split *,,Scratch Split *,WhiteNoiseDown 2 *,Male Bh 1 *,,,Snare,Bongo H Heel,Bongo H Heel,Snare Drum,Tef Shake 1,Luo Mid-Low,Sus Cymbal 2
41,SD Accent 1,Timbale 3 High,Floor Tom L,,Floor Tom L,Hybrid Tom 1,Tom Room 1,Tom Rock 1,Tom Electro 1,Tom Analog 1,,Tom Dance 1,Floor Tom L,Tom Brush 1,Floor Tom L,Floor Tom L,Floor Tom L,,Floor Tom L,Floor Tom L,Floor Tom L,Tom Brush 1,Tom Brush 1,Floor Tom L,,Tom Acoustic 1,Tom Power 1,Tom Power 1,Tom Rock 1,Tom Real 1,TomRealBrushes 1,,Tom T8 1,Tom T9 1,Tom T9 1,Floor Tom L,Tom T9 1,Tom Break 1,,Wind Chime *,,Wind Chime *,PinkNoise Down 2 *,Female Bh 1 *,,,Snare Roll *,Bongo H Slap,Bongo H Slap,Floor Tom L,Tef Shake 2,Luo,Concert Tom 1
42,Tom Brush Shot 1,Wood Block High,Hi-Hat Closed,,Hi-Hat Closed,Hi-Hat Closed 2,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,Hat Close Analog,,Hi-Hat Closed 3,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,Hi-Hat Closed,,Hi-HatClosedAco,Hi-HatClosePower,HH Closed PW Eg,Hi-HatClosedRock,Hi-HatClosedReal,Hi-Hat Closed RB,,Hi-Hat Closed T8,Hi-Hat Closed T9,Hi-Hat Closed T8,Hi-HatClosed Hip,Hi-Hat Closed T9,HHClosedRockSoft,,Telephone Ring *,,Telephone Ring 2 *,White Noise Up 2 *,Male Kh 1 *,,,Hi-Hat Closed,Bongo L Open 1 f,Bongo L Open 1 f,Hi-Hat Closed,Tef Tek Flam,Jin Luo Low,OrchCymbal 1 ckd
43,SD Reverb 2,Timbale 3 Low,Floor Tom H,,Floor Tom H,Hybrid Tom 2,Tom Room 2,Tom Rock 2,Tom Electro 2,Tom Analog 2,,Tom Dance 2,Floor Tom H,Tom Brush 2,Floor Tom H,Floor Tom H,Floor Tom H,,Floor Tom H,Floor Tom H,Floor Tom H,Tom Brush 2,Tom Brush 2,Floor Tom H,,Tom Acoustic 2,Tom Power 2,Tom Power 2,Tom Rock 2,Tom Real 2,TomRealBrushes 2,,Tom T8 2,Tom T9 2,Tom T9 2,Low Tom,Tom T9 2,Tom Break 2,,,,,White Noise Up 1 *,Female Kh 1 *,,,Cymbal,Bongo L Open 3 f,Bongo L Open 3 f,Floor Tom H,Tef Full Open,Da Cha 1,Concert Tom 2
44,Snare Drum Rim 2,Wood Block Mid,Hi-Hat Pedal,,Hi-Hat Pedal,Hi-Hat Pedal 2,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,Hat Close Anlg 2,,Hat Close Anlg 3,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,Hi-Hat Pedal,,Hi-HatPedal Aco,Hi-HatPedalPower,Hi-HatPedalPower,Hi-HatPedal Rock,Hi-Hat PedalReal,Hi-Hat Pedal RB,,Hi-Hat Pedal T8,Hi-Hat Pedal T9,Hi-Hat Pedal T9,Hi-Hat Pedal Hip,Hi-Hat Pedal T9,Hi-Hat PedalRock,,,,,Pink Noise Up *,Male Ph 1 *,,,Hi-Hat Open,Bongo L Rim,Bongo L Rim,Hi-Hat Pedal,Tef Teke OpShort,Da Cha Effect,Orch Cymbal 1
45,SD Reverb 1,Timbale 4 High,Low Tom,,Low Tom,Hybrid Tom 3,Tom Room 3,Tom Rock 3,Tom Electro 3,Tom Analog 3,,Tom Dance 3,Low Tom,Tom Brush 3,Low Tom,Low Tom,Low Tom,,Low Tom,Low Tom,Low Tom,Tom Brush 3,Tom Brush 3,Low Tom,,Tom Acoustic 3,Tom Power 3,Tom Power 3,Tom Rock 3,Tom Real 3,TomRealBrushes 3,,Tom T8 3,Tom T9 3,Tom T9 3,Mid Tom L,Tom T9 3,Tom Break 3,,,,,WhiteNoiseUp Rel *,Female Ph 1 *,,,Tambourine,Bongo L Tip,Bongo L Tip,Low Tom,Tef Tek Op Short,Zhongcha,Concert Tom 3
46,Snare Drum Rim 1,Wood Block Low,Hi-Hat Open,,Hi-Hat Open,Hi-Hat Open 2,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open,Hat Open Analog,,Hi-Hat Open 3,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open ,Hi-Hat Open,,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open,Hi-Hat Open,,Hi-Hat Open Aco,Hi-HatOpen Power,Hi-HatOpen Power,Hi-Hat Open Rock,Hi-Hat Open Real,Hi-Hat Open RB,,Hi-Hat Open T8,Hi-Hat Open T9,Hi-Hat Open T9,Hi-Hat Open Hip,Hi-Hat Open T9,HH HalfOpen Rock,,,,,PinkNoise Up Rel *,Male Th 1 *,,,Finger Snap,Bongo L Heel,Bongo L Heel,Hi-Hat Open,Tef Tek Open,Xiaocha Effect,Orch Cymbal 2
47,Synth Snare Drum,Timbale 4 Low,Mid Tom L,,Mid Tom L,Hybrid Tom 4,Tom Room 4,Tom Rock 4,Tom Electro 4,Tom Analog 4,,Tom Dance 4,Mid Tom L,Tom Brush 4,Mid Tom L,Mid Tom L,Mid Tom L,,Mid Tom L,Mid Tom L,Mid Tom L,Tom Brush 4,Tom Brush 4,Mid Tom L,,Tom Acoustic 4,Tom Power 4,Tom Power 4,Tom Rock 4,Tom Real 4,TomRealBrushes 4,,Tom T8 4,Tom T9 4,Tom T9 4,High Tom,Tom T9 4,Tom Break 4,,,,,WhiteNoiseUp LFO *,Female Th 1 *,,,Castanet,Bongo L Slap,Bongo L Slap,Mid Tom L,Tef Dum Open,Xiaocha,Concert Tom 4
48,Analog SD,Vibraslap,Mid Tom H,,Mid Tom H,Hybrid Tom 5,Tom Room 5,Tom Rock 5,Tom Electro 5,Tom Analog 5,,Tom Dance 5,Mid Tom H,Tom Brush 5,Mid Tom H,Mid Tom H,Mid Tom H,,Mid Tom H,Mid Tom H,Mid Tom H,Tom Brush 5,Tom Brush 5,Mid Tom H,,Tom Acoustic 5,Tom Power 5,Tom Power 5,Tom Rock 5,Tom Real 5,TomRealBrushes 5,,Tom T8 6,Tom T9 5,Tom T9 5,Ride Cymbal 3,Tom T9 5,Tom Break 5,,,,,PinkNoise Up LFO *,Male Bh 2 *,,C'mon *,Triangle Mute,Timbale L,Timbale L,Mid Tom H,Hollo FingerDead,Mang Luo Low,Concert Tom 5
49,Triangle Mute,Triangle Mute,Crash Cymbal 1,,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Analog,,Crash Analog,Crash Cymbal 1,Crash Cymbal 1,Hand Cymbal,Crash Cymbal 1,Crash Cymbal 1,,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,Crash Cymbal 1,,CrashCymbalAco 1,CrashCymbalAco 1,CrashCymbalAco 1,CrashCymbalAco 1,CrashCymbalReal1,CrashCymbal RB 1,,Crash Cymbal T8,Crash Cymbal T9,Crash Cymbal T9,Crash Cymbal 3,Crash Cymbal T9,Crash Cymbal 1,,,,,,Female Bh 2 *,,Hoo! *,Wood Block L,,,Crash Cymbal 1,Hollo Slap,Mang Luo Mid,Finger Cymbal
